185: kind=dictionary_splat_pattern, named=true, hidden=false, visible=true
186: kind=as_pattern, named=true, hidden=false, visible=true
187: kind=_expression_within_for_in_clause, named=false, hidden=true, visible=false
188: kind=expression, named=false, hidden=false, visible=false
189: kind=primary_expression, named=false, hidden=false, visible=false
190: kind=not_operator, named=true, hidden=false, visible=true
191: kind=boolean_operator, named=true, hidden=false, visible=true
192: kind=binary_operator, named=true, hidden=false, visible=true
193: kind=unary_operator, named=true, hidden=false, visible=true
194: kind=comparison_operator, named=true, hidden=false, visible=true
195: kind=lambda, named=true, hidden=false, visible=true
196: kind=lambda, named=true, hidden=false, visible=true
197: kind=assignment, named=true, hidden=false, visible=true
198: kind=augmented_assignment, named=true, hidden=false, visible=true
199: kind=pattern_list, named=true, hidden=false, visible=true
200: kind=_right_hand_side, named=false, hidden=true, visible=false
201: kind=yield, named=true, hidden=false, visible=true
202: kind=attribute, named=true, hidden=false, visible=true
203: kind=subscript, named=true, hidden=false, visible=true
204: kind=slice, named=true, hidden=false, visible=true
205: kind=call, named=true, hidden=false, visible=true
206: kind=typed_parameter, named=true, hidden=false, visible=true
207: kind=type, named=true, hidden=false, visible=true
208: kind=splat_type, named=true, hidden=false, visible=true
209: kind=generic_type, named=true, hidden=false, visible=true
210: kind=union_type, named=true, hidden=false, visible=true
211: kind=constrained_type, named=true, hidden=false, visible=true
212: kind=member_type, named=true, hidden=false, visible=true
213: kind=keyword_argument, named=true, hidden=false, visible=true
214: kind=list, named=true, hidden=false, visible=true
215: kind=set, named=true, hidden=false, visible=true
216: kind=tuple, named=true, hidden=false, visible=true
217: kind=dictionary, named=true, hidden=false, visible=true
218: kind=pair, named=true, hidden=false, visible=true
219: kind=list_comprehension, named=true, hidden=false, visible=true
220: kind=dictionary_comprehension, named=true, hidden=false, visible=true
221: kind=set_comprehension, named=true, hidden=false, visible=true
222: kind=generator_expression, named=true, hidden=false, visible=true
223: kind=_comprehension_clauses, named=false, hidden=true, visible=false
224: kind=parenthesized_expression, named=true, hidden=false, visible=true
225: kind=_collection_elements, named=false, hidden=true, visible=false
226: kind=for_in_clause, named=true, hidden=false, visible=true
227: kind=if_clause, named=true, hidden=false, visible=true
228: kind=conditional_expression, named=true, hidden=false, visible=true
229: kind=concatenated_string, named=true, hidden=false, visible=true
230: kind=string, named=true, hidden=false, visible=true
231: kind=string_content, named=true, hidden=false, visible=true
232: kind=interpolation, named=true, hidden=false, visible=true
233: kind=_f_expression, named=false, hidden=true, visible=false
234: kind=format_specifier, named=true, hidden=false, visible=true
235: kind=await, named=true, hidden=false, visible=true
236: kind=positional_separator, named=true, hidden=false, visible=true
237: kind=keyword_separator, named=true, hidden=false, visible=true
238: kind=module_repeat1, named=false, hidden=false, visible=false
239: kind=_simple_statements_repeat1, named=false, hidden=true, visible=false
240: kind=import_prefix_repeat1, named=false, hidden=false, visible=false
241: kind=_import_list_repeat1, named=false, hidden=true, visible=false
242: kind=print_statement_repeat1, named=false, hidden=false, visible=false
243: kind=assert_statement_repeat1, named=false, hidden=false, visible=false
244: kind=if_statement_repeat1, named=false, hidden=false, visible=false
245: kind=match_statement_repeat1, named=false, hidden=false, visible=false
246: kind=_match_block_repeat1, named=false, hidden=true, visible=false
247: kind=case_clause_repeat1, named=false, hidden=false, visible=false
248: kind=try_statement_repeat1, named=false, hidden=false, visible=false
249: kind=try_statement_repeat2, named=false, hidden=false, visible=false
250: kind=with_clause_repeat1, named=false, hidden=false, visible=false
251: kind=global_statement_repeat1, named=false, hidden=false, visible=false
252: kind=type_parameter_repeat1, named=false, hidden=false, visible=false
253: kind=argument_list_repeat1, named=false, hidden=false, visible=false
254: kind=decorated_definition_repeat1, named=false, hidden=false, visible=false
255: kind=dotted_name_repeat1, named=false, hidden=false, visible=false
256: kind=union_pattern_repeat1, named=false, hidden=false, visible=false
257: kind=dict_pattern_repeat1, named=false, hidden=false, visible=false
258: kind=_parameters_repeat1, named=false, hidden=true, visible=false
259: kind=_patterns_repeat1, named=false, hidden=true, visible=false
260: kind=comparison_operator_repeat1, named=false, hidden=false, visible=false
261: kind=subscript_repeat1, named=false, hidden=false, visible=false
262: kind=dictionary_repeat1, named=false, hidden=false, visible=false
263: kind=_comprehension_clauses_repeat1, named=false, hidden=true, visible=false
264: kind=_collection_elements_repeat1, named=false, hidden=true, visible=false
265: kind=for_in_clause_repeat1, named=false, hidden=false, visible=false
266: kind=concatenated_string_repeat1, named=false, hidden=false, visible=false
267: kind=string_repeat1, named=false, hidden=false, visible=false
268: kind=string_content_repeat1, named=false, hidden=false, visible=false
269: kind=format_specifier_repeat1, named=false, hidden=false, visible=false
270: kind=as_pattern_target, named=true, hidden=false, visible=true
271: kind=format_expression, named=true, hidden=false, visible=true
272: kind=is not, named=false, hidden=false, visible=true
273: kind=not in, named=false, hidden=false, visible=true
